sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
A0213/B0220				126		
A0213/B0220/D0046				126		
A0213/B0220/D0181				126		
A0214				192		
A0214/B0214				192		
A0214/B0214/D0214				192		
A0214/B0215				147		
A0214/B0215/D0215				147		
A0216				391		
A0216/B0216				391		
A0218				27		
A0218/B0218				27		
A0218/B0218/D0218				27		
A0222				192		
A0222/B0222				173		
A0222/B0222/D0222				53		
A0223				195		
A0223/B0223				193		
A0223/B0223/C0223				193		
A0223/B0223/C0223/D0223				193		
A0223/B0223/C0223/E0223				193		
A0223/B0223/D0223				193		
A0223/B0223/E0223				193		
A0224				144		
A0224/B0224				144		
A0224/B0224/D0224				144		
A0225				334		
A0225/B0225				334		
A0225/B0225/D0225				247		
A0226				524		
A0226/B0136				506		
A0226/B0148				195		
A0230				273		
A0230/B0230				273		
A0230/B0230/D0230				273		
A0230/B0230/E0230				212		
A0230/B0248				273		
A0230/B0248/C0248				236		
A0230/B0248/C0248/D0230				236		
A0230/B0248/C0248/E0230				212		
A0230/B0248/D0230				273		
A0230/B0248/E0230				212		
A0231				386		
A0231/B0047				386		
A0232				567		
A0232/B0232				419		
A0232/B0232/C0232				358		
A0232/B0232/C0232/E0232				117		
A0232/B0232/E0232				117		
A0232/B0291				441		
A0232/B0291/E0232				117		
A0234				202		
A0234/B0056				202		
A0234/B0056/D0056				23		
A0234/B0056/D0079				87		
A0235				368		
A0235/B0235				368		
A0235/B0235/D0235				28		
A0235/B0259				272		
A0235/B0259/D0235				28		
A0240				152		
A0240/B0240				152		
A0241				308		
A0242				469		
A0242/B0242				456		
A0242/B0242/C0242				345		
A0242/B0242/C0242/D0242				292		
A0242/B0242/C0242/E0242				213		
A0242/B0242/D0242				292		
A0242/B0242/E0242				213		
A0244				356		
A0244/B0206				356		
A0244/B0206/D0244				262		
A0245				496		
A0245/B0082				496		
A0245/B0082/C0082				496		
A0245/B0082/C0082/D0082				496		
A0245/B0082/C0082/E0082				185		
A0245/B0082/D0082				496		
A0245/B0082/E0082				185		
A0245/B0109				68		
A0245/B0109/C0082				68		
A0245/B0109/C0082/D0082				68		
A0245/B0109/C0082/E0082				68		
A0245/B0109/D0082				68		
A0245/B0109/E0082				68		
A0246				866		
A0246/B0172-P				23		
A0246/B0199-P				12		
A0246/B0246				866		
A0247				828		
A0247/B0047				536		
A0250				20		
A0250/B0250				20		
A0250/B0250/D0250				20		
A0250/B0250/D0251				20		
A0252				350		
A0252/B0047				350		
A0253				365		
A0253/B0048				365		
A0254				450		
A0254/B0047				450		
A0255				104		
A0255/B0255				104		
A0255/B0255/D0255				104		
A0255/B0255/D0256				104		
A0260				224		
A0260/B0133				224		
A0260/B0133/D0133				18		
A0263				249		
