sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
A0139-FBA	X000KH2K6V	B00HYHXITC	MAXFLOORMAT Floor Mats for Jeep Wrangler (All Models) (2007-2013) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	4	2.38	0	4	0
A0139/B0073-FBA	X000KH2K6L	B00HZOC8HC	MAXFLOORMAT Floor Mats for Jeep Wrangler Unlimited (2007-2013) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	3.21	0	0	0
A0139/B0073/D0073-FBA	X000XXZUM3	B00JDCYH6E	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Jeep Wrangler Unlimited (2007-2010) (Black)	New	224.97	No		Yes	2	2	0	0	2	5.42	0	0	0
A0139/B0073/D0112-FBA	X000KH2K6B	B00HZOC8HW	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Jeep Wrangler Unlimited (2011-2013) (Black)	New	224.97	No		Yes	2	2	0	0	2	5.17	0	0	0
A0139/B0073/D0139-FBA	X000XXZVDV	B0194PBEUG	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Jeep Wrangler Unlimited (2011-2013) (Black)	New	224.97	No		Yes	1	1	0	0	1	5.02	0	0	0
A0139/B0236-FBA	B01MU5XGWH	B01MU5XGWH	MAXFLOORMAT Floor Mats for Jeep Wrangler (2 Doors) (2011-2013) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	0	2.17	0	0	0
A0139/B0236/D0236-FBA	B01MY3IYI7	B01MY3IYI7	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Jeep Wrangler (2 Doors) (2011-2013) (Black)	New	215.97	No		Yes	0	0	0	0	0	3.19	0	0	0
A0141/B0141-FBA	X000KDYV17	B00HZOCAJ8	MAXFLOORMAT Floor Mats for Chevrolet / Isuzu D-MAX (2012-2014) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	3.09	0	0	0
A0141/B0141-XXX	X000YS0VTJ	B00K0TBGAY	Maxliner MAXFLOORMAT Floor Mats for Chevrolet / Isuzu D-MAX (2012-2014) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	12	3.06	0	11	0
A0144-FBA	X000PHVYJ5	B00HYHXJ32	MAXFLOORMAT Floor Mats for Nissan Altima (2013-2016) First Row Set (Black) (Manufactured After Nov. 2012)	New	85.49	No		Yes	0	0	0	0	0	3.13	0	0	0
A0144/B0125-FBA	X000LBL5U3	B00HZOCAOS	MAXFLOORMAT Floor Mats for Nissan Altima (2013-2017) Complete Set (Black) (Manufactured After Nov. 2012)	New	143.98	No		Yes	0	0	0	0	0	3.1	0	0	0
A0144/B0125/D0125-FBA	X000LBL5TT	B00HZOCAKM	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Altima (2013-2017) Complete Set Black (Manufactured After Nov. 2012)	New	224.97	No		Yes	2	2	0	0	4	5.45	0	2	0
A0145-FBA	X000XXZV31	B00HYHXIMY	MAXFLOORMAT Floor Mats for Mazda CX-5 (2013-2016) First Row Set (Black)	New	85.49	No		Yes	3	3	0	0	3	2.83	0	0	0
A0145/B0145-FBA	X000LBKYRX	B00HZOCAKW	MAXFLOORMAT Floor Mats for Mazda CX-5 (2013-2016) Complete Set (Black)	New	143.98	No		Yes	3	3	0	0	3	2.86	0	0	0
A0145/B0145/D0145-FBA	X000LBKYRN	B00HZOCASE	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Mazda CX-5 (2013-2016) Complete Set (Black)	New	224.97	No		Yes	4	4	0	0	4	5.66	0	0	0
A0147-FBA	X000XXZVJZ	B00HYHXIKQ	MAXFLOORMAT Floor Mats for Toyota Corolla (2014-2017) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.84	0	0	0
A0147/B0147-FBA	X000NCP623	B00HYHXK04	MAXFLOORMAT Floor Mats for Toyota Corolla (2014-2017) Complete Set (Black)	New	143.98	No		Yes	10	10	0	0	10	2.8	0	0	0
A0147/B0147/D0147-FBA	X000NCP61T	B00HYHXJYG	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Toyota Corolla (2014-2017) Complete Set (Black)	New	224.97	No		Yes	2	2	0	0	4	5.29	0	2	0
A0150/B0150-FBA	X000NCP6AF	B00HZOCEA8	MAXFLOORMAT Floor Mats for Jeep Cherokee (2014-2017) Complete Set (Black)	New	143.98	No		Yes	6	5	0	1	7	2.74	0	0	1
A0150/B0150-XXX	X000VQFNCJ	B00HZOCEA8	MAXFLOORMAT Floor Mats for Jeep Cherokee (2014-2017) Complete Set (Black)	New	143.98	No		Yes	4	4	0	0	6	2.74	0	2	0
